news_text,sentiment_score,price_change_1,price_change_2,price_change_3
"特斯拉宣布推出全新Model 3焕新版，预计年度销量将翻倍。",0.9,0.630,0.441,0.252
"华为成功拓展欧洲市场份额，新市场销售额增长15%。",0.8,0.560,0.392,0.224
"台积电年度研发投入增加25%，瞄准3nm以下制程技术。",0.85,0.595,0.416,0.238
"IDC报告显示苹果手机市场份额提升至23.6%。",0.75,0.525,0.368,0.210
"宁德时代新生产线投入使用，动力电池产能提升30%。",0.8,0.560,0.392,0.224
"大疆创新获得2023年红点设计大奖。",0.7,0.490,0.343,0.196
"字节跳动宣布全球招聘1万名工程师。",0.65,0.455,0.318,0.182
"腾讯2023年净利润同比增长22%，游戏业务复苏。",0.85,0.595,0.416,0.238
"药明康德与哈佛医学院达成新药研发合作。",0.7,0.490,0.343,0.196
"J.D.Power报告显示小米汽车用户满意度行业第一。",0.6,0.420,0.294,0.168
"比亚迪启动全球10城新能源车巡展。",0.55,0.385,0.270,0.154
"海尔智家海外收入突破100亿美元。",0.8,0.560,0.392,0.224
"美团推出核心员工股权激励计划。",0.5,0.350,0.245,0.140
"Interbrand榜单显示华为品牌价值增长35%。",0.75,0.525,0.368,0.210
"微软完成对动视暴雪690亿美元收购。",0.7,0.490,0.343,0.196
"隆基绿能投资50亿元新建光伏组件基地。",0.8,0.560,0.392,0.224
"Counterpoint数据显示OPPO成东南亚市场销量冠军。",0.7,0.490,0.343,0.196
"阿里巴巴与MIT建立AI联合实验室。",0.6,0.420,0.294,0.168
"顺丰速运客户投诉率同比下降40%。",0.65,0.455,0.318,0.182
"理想L9上市首月交付量超1.5万辆。",0.85,0.595,0.416,0.238
"ASML宣布2nm光刻机研发取得突破。",0.9,0.630,0.441,0.252
"中国平安年度纳税突破1000亿元。",0.6,0.420,0.294,0.168
"耐克与路易威登达成联名合作。",0.7,0.490,0.343,0.196
"Strategy Analytics报告显示vivo国内市占率达19.2%。",0.65,0.455,0.318,0.182
"三星电子研发投入占比提升至营收15%。",0.75,0.525,0.368,0.210
"格力电器获UL全球首张空调安全认证。",0.7,0.490,0.343,0.196
"伯克希尔哈撒韦增持苹果股票至5.8%。",0.8,0.560,0.392,0.224
"蚂蚁集团设立10亿元数字科技基金。",0.55,0.385,0.270,0.154
"星巴克中国会员复购率提升至68%。",0.6,0.420,0.294,0.168
"凯度调查显示抖音品牌认知度达89%。",0.65,0.455,0.318,0.182
"亚马逊Prime会员新增视频早享权益。",0.5,0.350,0.245,0.140
"京东物流仓储自动化率提升至90%。",0.6,0.420,0.294,0.168
"摩根大通Q2投行业务利润超预期30%。",0.7,0.490,0.343,0.196
"宝马与宁德时代达成长期供货协议。",0.65,0.455,0.319,0.182
"科大讯飞获语音交互技术创新奖。",0.7,0.490,0.343,0.196
"尼尔森报告显示农夫山泉复购率提升28%。",0.65,0.455,0.318,0.182
"招商银行总资产突破10万亿元。",0.75,0.525,0.368,0.210
"联合利华与WWF合作推进可持续包装。",0.6,0.420,0.294,0.168
"麦肯锡报告预测SHEIN新兴市场增长潜力。",0.7,0.490,0.343,0.196
"谷歌员工满意度调查得分创新高。",0.55,0.385,0.270,0.154
"宜家推出全屋智能家居定制服务。",0.5,0.350,0.245,0.140
"贝恩报告显示Z世代对安踏好感度提升40%。",0.65,0.455,0.318,0.182
"埃森哲年度战略合作伙伴新增35家。",0.6,0.420,0.294,0.168
"LVMH集团产品再获红点设计金奖。",0.7,0.490,0.343,0.196
"Gartner报告指出联想产品迭代速度快于戴尔。",0.65,0.455,0.318,0.182
"拼多多跨境电商TEMU销售额增长300%。",0.8,0.560,0.392,0.224
"IBM设立量子计算创新中心。",0.7,0.490,0.343,0.196
"J.D.Power报告显示蔚来售后服务满意度第一。",0.6,0.420,0.294,0.168
"高通2023年获得5800项专利。",0.7,0.490,0.343,0.196
"宝洁启动乡村儿童教育支持计划。",0.55,0.385,0.270,0.154
"彭博社估值TikTok突破2000亿美元。",0.75,0.525,0.368,0.210
"领英中国获最佳职场雇主奖。",0.6,0.420,0.294,0.168
"西门子与清华大学共建工业4.0实验室。",0.5,0.350,0.245,0.140
"Canalys报告显示大疆行业级无人机市占率45%。",0.65,0.455,0.318,0.182
"中国建筑资产负债率降至68.5%。",0.7,0.490,0.343,0.196
"瑞幸咖啡与茅台联名新品首日售罄。",0.65,0.455,0.318,0.182
"BCG报告肯定美团商业模式创新。",0.7,0.490,0.343,0.196
"博世年度研发投入增长30%乃至80亿欧元。",0.75,0.525,0.368,0.210
"小鹏汽车获广州政府20亿元产业扶持。",0.6,0.420,0.294,0.168
"消费者报告显示小米手机性价比排名第一。",0.65,0.455,0.318,0.182
"埃森哲年度成功案例数增长45%。",0.6,0.420,0.294,0.168
"迪士尼与故宫文创推出联名产品。",0.55,0.385,0.270,0.154
"福布斯榜单显示海尔全球品牌影响力提升。",0.65,0.455,0.318,0.182
"华为获5G标准必要专利占比20%。",0.7,0.490,0.343,0.196
"可口可乐启动全球包装回收计划。",0.6,0.420,0.294,0.168
"QuestMobile报告显示完美日记女性用户增长38%。",0.55,0.385,0.270,0.154
"丰田汽车现金流储备达800亿美元。",0.7,0.490,0.343,0.196
"阿迪达斯成为巴黎奥运会赞助商。",0.6,0.420,0.294,0.168
"麦肯锡报告肯定比亚迪海外扩张成效。",0.65,0.455,0.318,0.182
"新东方年度教师培训投入增长20%。",0.5,0.350,0.245,0.140
"阿里云推出AI客服系统效率提升50%。",0.55,0.385,0.270,0.154
"BrandZ报告显示B站社交口碑指数领先。",0.6,0.420,0.294,0.168
"中兴通讯获工业互联网创新奖。",0.7,0.490,0.343,0.196
"汇丰银行拓宽亚洲企业融资渠道。",0.55,0.385,0.270,0.154
"德勤报告指出拼多多下沉市场潜力。",0.65,0.455,0.318,0.182
"顺丰同城急送时效达标率提升至98%。",0.6,0.420,0.294,0.168
"泡泡玛特推出个性化盲盒包装。",0.5,0.350,0.245,0.140
"欧睿数据显示九阳小家电老年用户增长25%。",0.55,0.385,0.270,0.154
"中国中车获铁路产品质量金奖。",0.6,0.420,0.294,0.168
"DHL与菜鸟网络深化跨境物流合作。",0.55,0.385,0.270,0.154
"WPP报告显示海尔海外品牌认知度提升30%。",0.65,0.455,0.318,0.182
"星巴克中国员工福利支出增长15%。",0.5,0.350,0.245,0.140
"屈臣氏推出AR虚拟试妆服务。",0.55,0.385,0.270,0.154
"教育部统计显示作业帮学生用户增长25%。",0.5,0.350,0.245,0.140
"德邦快递获物流行业诚信企业奖。",0.6,0.420,0.294,0.168
"罗兰贝格报告显示蔚来换电模式领先。",0.65,0.455,0.318,0.182
"飞书升级企业协作系统。",0.6,0.420,0.294,0.168
"蓝月亮启动社区环保公益活动。",0.5,0.350,0.245,0.140
"尼尔森报告显示OPPO农村市场覆盖率提升。",0.55,0.385,0.270,0.154
"金风科技获全球绿色企业奖。",0.6,0.420,0.294,0.168
"英伟达与中科院合作AI项目。",0.55,0.385,0.270,0.154
