stock_code,industry,notice_date,news_text,rule_sentiment,announcement_type,sentiment_score,price_change_1,price_change_2,price_change_3
600519,白酒,2026-06-22,贵州茅台:贵州茅台2025年年度权益分派实施公告（分配方案实施）,0.0,general,-0.3154,-1.5626,-2.7798,-2.4155
600519,白酒,2026-06-12,贵州茅台:贵州茅台关于聘任董事会秘书的公告（高管人员任职变动）,0.0,general,-0.4023,-1.6465,-2.8673,-4.1072
600519,白酒,2026-06-12,贵州茅台:北京市金杜律师事务所关于贵州茅台酒股份有限公司2025年度股东会之法律意见书（法律意见书）,0.0,routine,-0.4023,-1.6465,-2.8673,-4.1072
600519,白酒,2026-06-12,贵州茅台:贵州茅台第五届董事会2026年度第一次会议决议公告（高管人员任职变动）,0.0,general,-0.4023,-1.6465,-2.8673,-4.1072
600519,白酒,2026-06-12,贵州茅台:贵州茅台关于职工董事选举结果的公告（高管人员任职变动）,0.0,routine,-0.4023,-1.6465,-2.8673,-4.1072
600519,白酒,2026-06-12,贵州茅台:贵州茅台2025年度股东会决议公告（分配方案决议公告）,0.0,routine,-0.4023,-1.6465,-2.8673,-4.1072
600519,白酒,2026-06-12,贵州茅台:贵州茅台董事、高级管理人员考核和薪酬管理办法（管理办法/制度）,0.0,routine,-0.4023,-1.6465,-2.8673,-4.1072
600519,白酒,2026-06-03,贵州茅台:贵州茅台2025年度股东会会议资料（股东大会资料）,0.0,routine,-0.1559,-1.1093,-0.7218,-1.5097
600519,白酒,2026-06-03,贵州茅台:贵州茅台关于调整2025年年度利润分配方案每股分红金额的公告（分配方案调整）,0.6,bullish,0.0241,-1.1093,-0.7218,-1.5097
600519,白酒,2026-05-28,贵州茅台:贵州茅台关于回购股份实施结果暨股份变动的公告（股本变动）,0.6,bullish,0.6096,4.0081,2.694,2.5033
600519,白酒,2026-05-22,贵州茅台:贵州茅台独立董事候选人声明与承诺(郭田勇)（独立董事候选人声明）,0.0,general,-0.0308,-0.3423,-1.3326,1.0141
600519,白酒,2026-05-22,贵州茅台:贵州茅台独立董事候选人声明与承诺(盛雷鸣)（独立董事候选人声明）,0.0,general,-0.0308,-0.3423,-1.3326,1.0141
600519,白酒,2026-05-22,贵州茅台:贵州茅台第四届董事会2026年度第八次会议决议公告（高管人员任职变动）,0.0,general,-0.0308,-0.3423,-1.3326,1.0141
600519,白酒,2026-05-22,贵州茅台:贵州茅台关于聘任董事会秘书的公告（高管人员任职变动）,0.0,general,-0.0308,-0.3423,-1.3326,1.0141
